name_uk;name_ru;oblast;raion;type;lat;lon
Zolochivka;Zolochivka;Ternopil;;місто;49.56669;25.20302
Zlobychi;Злобичи;Zhytomyr;;місто;50.85726;28.69685
Zlazne;Злазне;Rivne;;місто;50.93194;26.21581
Zlatoustove;Zlatoustove;Odesa;;місто;46.99205;31.02222
Zlatoustivka;Златоустовка;Dnipropetrovsk;;місто;47.88258;33.73513
Zlatoustivka;Златоустовка;Donetsk;;місто;47.49025;37.32688
Zlatopil;Zlatopil;Zaporizhzhia;;місто;47.41027;35.02767
Zirnytsia;Zirnytsia;Zaporizhzhia;;місто;47.81682;35.99229
Zoryane;Zoryane;Odesa;;місто;46.63985;30.43662
Zinove;Зиново;Sumy;;місто;51.26439;33.91234
Zinkivske;Zinkivske;Kharkivs’ka Oblast’;;місто;50.08627;35.86389
Zinkivshchyna;Zin’kovshchina;Kharkivs’ka Oblast’;;місто;49.04767;35.38152
Zinkiv;Зиньков;Khmelnytskyi;;місто;49.09351;27.07501
Zinky;Zin’ki;Khmelnytskyi;;місто;50.16705;26.22929
Zimovtsy;Zimovtsy;Poltava;;місто;49.35;34.18333
Zymovyshche;Зимовище;Kyiv;;місто;51.42317;30.18561
Zymohiria;Зимогорье;Luhansk;;місто;48.58528;38.9375
Zymnytske;Зимницкое;Mykolaiv;;місто;47.7305;30.47148
Zymne;Zymne;Volyn;;місто;50.80136;24.33111
Zymna Voda;Zymna Voda;Lviv;;місто;49.82625;23.88222
Zimino;Зимино;Crimea;;місто;45.50797;33.51431
Zidky;Zidky;Kharkivs’ka Oblast’;;місто;49.69768;36.40044
Zibranivka;Zibranivka;Ivano-Frankivsk;;місто;48.51271;25.36167
Zhytomyr;Житомир;Zhytomyr;;місто;50.26235;28.67913
Zhyravka;Zhyravka;Ternopil;;місто;48.68333;25.76667
Zhvyrka;Zhvyrka;Lviv;;місто;50.46597;24.26726
Zhvanets;Жванец;Khmelnytskyi;;місто;48.54968;26.48744
Zhvan;Жван;Vinnytsia;;місто;48.61604;27.47989
Zhuzheliany;Zhuzheliany;Lviv;;місто;50.39888;24.04905
Zhurzhyntsi;Журжинцы;Cherkasy;;місто;49.31097;30.87938
Berezivka;Berezivka;Khmelnytskyi;;місто;48.63744;27.22067
Zhurzhevychi;Журжевичи;Zhytomyr;;місто;51.41248;27.71111
Zhury Skiry;Zhury Skiry;Lviv;;місто;50.01667;23.9
Zhuravka;Журавка;Cherkasy;;місто;48.93235;31.62728
Zhurivka;Журовка;Odesa;;місто;47.39304;30.49321
Zhurivka;Журовка;Mykolaiv;;місто;46.95259;31.40045
Zhuriv;Zhuriv;Ivano-Frankivsk;;місто;49.30782;24.44474
Zhurbyntsi;Zhurbyntsi;Zhytomyr;;місто;49.98298;28.71647
Zhurbyntsi;Zhurbyntsi;Vinnytsia;;місто;49.6531;28.95591
Zhuravske;Zhuravske;Luhansk;;місто;49.25723;40.07323
Zhuravne;Журавное;Sumy;;місто;50.24424;34.76379
